Date,Open,High,Low,Close,Volume,MiddleBand,UpperBand,LowerBand,Distance_Upper,Distance_Middle,Distance_Lower,Event_Type,Tolerance,Touch_Type,Consecutive_Touches,Future_Return_1,Future_Move_1,Future_Return_3,Future_Move_3,Future_Return_5,Future_Move_5,Future_Return_7,Future_Move_7,Future_Return_10,Future_Move_10
1980-02-06,0.0,116.56999969482422,113.6500015258789,115.72000122070312,51950000,112.83300018310548,116.65677522922044,109.00922513699052,-0.8030172329696569,2.5586495377350724,6.156154284446344,Upper_Touch,1.0%,Apparent,1,0.005,Up,0.012,Up,0.024,Up,-0.003,Down,-0.004,Down
1980-02-07,0.0,117.87000274658205,115.22000122070312,116.27999877929688,57690000,113.15250015258788,117.00698375116058,109.2980165540152,-0.6213175902472485,2.7639677625253696,6.388022807194462,Upper_Touch,1.0%,Apparent,2,0.014,Up,0.014,Up,0.004,Up,-0.014,Down,-0.011,Down
1980-02-08,0.0,118.66000366210938,115.72000122070312,117.9499969482422,57860000,113.55400009155274,117.6436964487068,109.46430373439868,0.26036286582421764,3.871283136785317,7.752018625572206,Upper_Touch,1.0%,Real,3,-0.007,Down,0.004,Up,-0.022,Down,-0.013,Down,-0.039,Down
1980-02-11,0.0,119.0500030517578,116.30999755859376,117.12000274658205,58660000,113.89100036621092,117.9897508754626,109.79224985695926,-0.7371387111398958,2.8351690388076576,6.6741986790229815,Upper_Touch,1.0%,Apparent,4,0.007,Up,-0.003,Down,-0.022,Down,-0.016,Down,-0.027,Down
1980-02-12,0.0,118.41000366210938,115.75,117.9000015258789,48090000,114.22900047302248,118.47677591827522,109.98122502776972,-0.4868248548510243,3.2137207168536923,7.2001166527375275,Upper_Touch,1.0%,Apparent,5,0.005,Up,-0.021,Down,-0.012,Down,-0.024,Down,-0.047,Down
1980-02-13,0.0,120.22000122070312,117.56999969482422,118.44000244140624,65230000,114.59850044250489,118.96001140983871,110.23698947517106,-0.43712921869261867,3.3521398483121225,7.4412527095388095,Upper_Touch,1.0%,Apparent,6,-0.015,Down,-0.032,Down,-0.027,Down,-0.043,Down,-0.051,Down
1980-02-14,0.0,119.3000030517578,116.04000091552734,116.72000122070312,50540000,114.89950065612793,118.96408681159332,110.83491450066252,-1.8863554968855545,1.58442861298728,5.309776929548158,Middle_Break_Up,1.0%,Real,1,-0.011,Down,-0.002,Down,-0.014,Down,-0.023,Down,-0.026,Down
1980-02-15,0.0,116.6999969482422,114.12000274658205,115.41000366210938,46680000,115.1165008544922,118.78414470472204,111.44885700426234,-2.8405651705454686,0.25496154368708807,3.554228158387973,Middle_Break_Up,1.0%,Apparent,2,-0.007,Down,-0.001,Down,-0.018,Down,-0.026,Down,-0.025,Down
1980-02-19,0.0,115.66999816894533,113.3499984741211,114.5999984741211,39480000,115.2415008544922,118.65069563211313,111.83230607687126,-3.4139683180211384,-0.5566591684545054,2.474859451925614,Middle_Break_Down,1.0%,Apparent,1,0.016,Up,0.004,Up,-0.005,Down,-0.02,Down,-0.016,Down
1980-02-20,0.0,117.18000030517578,114.05999755859376,116.47000122070312,44340000,115.48950080871582,118.47171797311913,112.50728364431252,-1.6896157046276523,0.8489952810613506,3.522187584688812,Middle_Break_Up,1.0%,Apparent,1,-0.01,Down,-0.027,Down,-0.035,Down,-0.024,Down,-0.046,Down
1980-02-21,0.0,117.9000015258789,114.44000244140624,115.27999877929688,51530000,115.58150062561036,118.41495308841546,112.74804816280523,-2.647431111827444,-0.260856490598876,2.245671351077911,Middle_Break_Down,1.0%,Apparent,1,-0.002,Down,-0.011,Down,-0.025,Down,-0.024,Down,-0.058,Down
1980-02-22,0.0,116.45999908447266,113.43000030517578,115.04000091552734,48210000,115.64850082397462,118.36164105666695,112.93536059128226,-2.806348502340668,-0.5261632482149096,1.8635795850175416,Middle_Break_Down,1.0%,Apparent,2,-0.015,Down,-0.023,Down,-0.012,Down,-0.02,Down,-0.071,Down
1980-02-25,0.0,114.93000030517578,112.62000274658205,113.33000183105467,39140000,115.63450088500976,118.392097088397,112.87690468162252,-4.2757036844805,-1.9929165052969298,0.4014081983468157,Lower_Touch,1.0%,Apparent,1,0.006,Up,-0.009,Down,-0.007,Down,-0.019,Down,-0.06,Down
